"Field";"Type";"Null";"Key";"Default";"Extra"
lo_qty;float;YES;"";;""
last_loc_time;datetime;YES;"";;""
waktu_bongkar_spbu;timestamp(3);NO;"";"0000-00-00 00:00:00.000";""
vehicle_number;varchar(20);YES;"";;""
spbu_number;varchar(30);YES;MUL;;""
lo_produk;varchar(50);YES;"";;""
lo_produk_std;varchar(50);YES;"";;""
oil_company_code;varchar(20);YES;"";;""
gateout_time;datetime;YES;MUL;;""
shipment_state;varchar(50);YES;"";;""
last_update;timestamp(3);NO;"";"0000-00-00 00:00:00.000";""
crew1_name;varchar(50);YES;"";;""
lo_number;varchar(30);YES;"";;""
waktu_tempuh;float;YES;"";;""
id_tbbm;varchar(20);YES;"";;""
last_position;varchar(50);YES;"";;""
last_position_lat;varchar(25);YES;"";;""
last_position_long;varchar(25);YES;"";;""
shipment_id;varchar(20);YES;MUL;;""
type;varchar(10);YES;MUL;;""
date_gateout_time;date;YES;"";;""
day_gateout_time;int(11);YES;"";;""
time_gateout_time;varchar(10);YES;"";;""
hour_gateout_time;int(11);YES;"";;""
insert_date_mysql;timestamp;NO;"";current_timestamp();""
