"Field";"Type";"Null";"Key";"Default";"Extra"
site_id;varchar(12);YES;MUL;;""
site_name;varchar(50);YES;"";;""
site_address;varchar(200);YES;"";;""
tank_id;int(11);YES;"";;""
tank_name;varchar(50);YES;"";;""
grade_id;int(11);YES;"";;""
grade_name;varchar(50);YES;"";;""
grade_name_std;varchar(50);YES;"";;""
oil_company_code;varchar(20);YES;"";;""
tank_number;int(11);YES;"";;""
tank_description;varchar(100);YES;"";;""
capacity;float;YES;"";;""
gauge_level;float;YES;"";;""
temperature;float;YES;"";;""
water_level;float;YES;"";;""
dip_level;float;YES;"";;""
gauge_volume;float;YES;"";;""
theoritical_volume;float;YES;"";;""
dip_volume;float;YES;"";;""
probe_number;int(11);YES;"";;""
ullage;float;YES;"";;""
water_volume;float;YES;"";;""
diameter;float;YES;"";;""
density;float;YES;"";;""
tank_type_id;int(11);YES;"";;""
tank_probe_status_id;int(11);YES;"";;""
tank_readings_dt;timestamp(3);NO;MUL;"0000-00-00 00:00:00.000";""
hi_temperature;float;YES;"";;""
low_temperature;float;YES;"";;""
loss_tollerance_vol;float;YES;"";;""
gain_tollerance_vol;float;YES;"";;""
deleted;int(11);YES;"";;""
auto_disable;int(11);YES;"";;""
is_enable;int(11);YES;"";;""
company_code;varchar(30);YES;"";;""
insert_date_mysql;timestamp;YES;"";;""
date_tank_readings_dt;date;YES;"";;""
day_tank_readings_dt;int(11);YES;"";;""
time_tank_readings_dt;varchar(10);YES;"";;""
hour_tank_readings_dt;int(11);YES;"";;""
