"Field";"Type";"Null";"Key";"Default";"Extra"
calmonth;varchar(20);YES;"";;""
calday;date;YES;MUL;;""
plant;varchar(10);YES;MUL;;""
material_code;varchar(20);YES;"";;""
material_name;varchar(50);YES;"";;""
material_name_std;varchar(50);YES;"";;""
ship_to;varchar(20);YES;MUL;;""
ship_name;varchar(100);YES;"";;""
ship_to_desc;varchar(50);YES;"";;""
ship_to_siteid;varchar(20);YES;"";;""
sales_unit;varchar(10);YES;"";;""
quantity;int(11);YES;"";;""
insert_date_mysql;datetime;YES;MUL;;""
