"Field";"Type";"Null";"Key";"Default";"Extra"
site_id;varchar(12);YES;MUL;;""
site_name;varchar(50);YES;"";;""
site_address;varchar(200);YES;"";;""
hose_id;int(11);YES;"";;""
hose_number;int(11);YES;"";;""
pump_id;int(11);YES;"";;""
pump_name;varchar(50);YES;"";;""
logical_number;int(11);YES;"";;""
pump_description;varchar(100);YES;"";;""
grade_id;int(11);YES;"";;""
oil_company_code;varchar(20);YES;"";;""
grade_name;varchar(50);YES;"";;""
grade_name_std;varchar(50);YES;MUL;;""
tank_id;int(11);YES;"";;""
tank_name;varchar(50);YES;"";;""
attendant_id;int(11);YES;"";;""
attendant_name;varchar(50);YES;"";;""
transaction_id;decimal(30,0);YES;"";;""
delivery_id;decimal(30,0);YES;"";;""
delivery_type;int(11);YES;"";;""
delivery_state;int(11);YES;"";;""
delivery_volume;float;YES;"";;""
hose_meter_value;bigint(20);YES;"";;""
del_sell_price;float;YES;"";;""
delivery_value;int(11);YES;"";;""
hose_meter_volume;float;YES;"";;""
start_totalizer_value;bigint(20);YES;"";;""
end_totalizer_value;bigint(20);YES;"";;""
start_totalizer_volume;float;YES;"";;""
end_totalizer_volume;float;YES;"";;""
completed_ts;timestamp(3);NO;MUL;"0000-00-00 00:00:00.000";""
cleared_date_time;timestamp;YES;"";;""
note_1;varchar(100);YES;"";;""
payment_type_id;int(11);YES;MUL;;""
payment_type_desc;varchar(100);YES;"";;""
bank_id;int(11);YES;"";;""
bank_name;varchar(50);YES;"";;""
voucher_id;int(11);YES;"";;""
voucher_number;varchar(30);YES;"";;""
voucher_name;varchar(50);YES;"";;""
voucher_value;int(11);YES;"";;""
vehicle_number;varchar(15);YES;"";;""
odometer;varchar(15);YES;"";;""
longitude;float;YES;"";;""
latitude;float;YES;"";;""
period_name;varchar(10);YES;"";;""
shift;int(11);YES;"";;""
public_ip;varchar(20);YES;"";;""
company_code;varchar(30);YES;"";;""
date_completed_ts;date;YES;"";;""
day_completed_ts;int(11);YES;"";;""
time_completed_ts;varchar(10);YES;"";;""
hour_completed_ts;int(11);YES;"";;""
insert_date_mysql_trx;timestamp;YES;"";;""
payment_id;bigint(20);YES;"";;""
vehicle_type;varchar(50);YES;MUL;;""
phone_number;varchar(25);YES;"";;""
agency_type;varchar(150);YES;MUL;;""
agency_name;varchar(150);YES;"";;""
customer_type;varchar(150);YES;MUL;;""
insert_date_mysql_payment;datetime;YES;"";;""
